CU,Name,New,StageIn,Allocate,Exec,StageOut,Done,Read,Exec,Write
unit.000020,Mapper-0-21,N/A,12.6580770016,12.6731650829,12.6748011112,498.690414906,511.343994141,0.006359,unit.000021,Mapper-0-22,N/A,12.6887300014,12.71043396,12.7121899128,549.268069983,556.630239964,0.031747,417.011826,0.004334,unit.000021,Mapper-0-22,N/A,12.6887300014,12.71043396,12.7121899128,549.268069983,556.630239964,417.011826,0.004334,unit.000022,Mapper-0-23,N/A,12.5473001003,12.5627250671,12.5643689632,787.207652092,792.621608973,0.021873,694.95342,0.004843
unit.000021,Mapper-0-22,N/A,12.6887300014,12.71043396,12.7121899128,549.268069983,556.630239964,0.004334,unit.000022,Mapper-0-23,N/A,12.5473001003,12.5627250671,12.5643689632,787.207652092,792.621608973,0.021873,694.95342,0.004843,unit.000022,Mapper-0-23,N/A,12.5473001003,12.5627250671,12.5643689632,787.207652092,792.621608973,694.95342,0.004843,unit.000023,Mapper-0-24,N/A,12.80133605,12.8172299862,12.8187980652,535.075112104,540.573915958,0.029976,402.68414,0.005229
unit.000022,Mapper-0-23,N/A,12.5473001003,12.5627250671,12.5643689632,787.207652092,792.621608973,0.004843,unit.000023,Mapper-0-24,N/A,12.80133605,12.8172299862,12.8187980652,535.075112104,540.573915958,0.029976,402.68414,0.005229,unit.000023,Mapper-0-24,N/A,12.80133605,12.8172299862,12.8187980652,535.075112104,540.573915958,402.68414,0.005229,unit.000024,Mapper-0-25,N/A,12.8353710175,12.8694081306,12.8710339069,486.262098074,498.940263987,0.030867,282.469693,0.004611
unit.000023,Mapper-0-24,N/A,12.80133605,12.8172299862,12.8187980652,535.075112104,540.573915958,0.005229,unit.000024,Mapper-0-25,N/A,12.8353710175,12.8694081306,12.8710339069,486.262098074,498.940263987,0.030867,282.469693,0.004611,unit.000024,Mapper-0-25,N/A,12.8353710175,12.8694081306,12.8710339069,486.262098074,498.940263987,282.469693,0.004611,unit.000025,Mapper-0-26,N/A,12.5970909595,12.6124241352,12.6140351295,634.35145998,639.013850927,0.024873,615.241538,0.004691
unit.000024,Mapper-0-25,N/A,12.8353710175,12.8694081306,12.8710339069,486.262098074,498.940263987,0.004611,unit.000025,Mapper-0-26,N/A,12.5970909595,12.6124241352,12.6140351295,634.35145998,639.013850927,0.024873,615.241538,0.004691,unit.000025,Mapper-0-26,N/A,12.5970909595,12.6124241352,12.6140351295,634.35145998,639.013850927,615.241538,0.004691,unit.000026,Mapper-0-27,N/A,12.7103700638,12.7259430885,12.7275271416,540.350323915,545.711040974,0.058969,409.418237,0.004391
unit.000025,Mapper-0-26,N/A,12.5970909595,12.6124241352,12.6140351295,634.35145998,639.013850927,0.004691,unit.000026,Mapper-0-27,N/A,12.7103700638,12.7259430885,12.7275271416,540.350323915,545.711040974,0.058969,409.418237,0.004391,unit.000026,Mapper-0-27,N/A,12.7103700638,12.7259430885,12.7275271416,540.350323915,545.711040974,409.418237,0.004391,unit.000027,Mapper-0-28,N/A,12.3692009449,12.3965320587,12.4016001225,584.915802002,592.836959124,0.02486,564.348256,0.005598
unit.000026,Mapper-0-27,N/A,12.7103700638,12.7259430885,12.7275271416,540.350323915,545.711040974,0.004391,unit.000027,Mapper-0-28,N/A,12.3692009449,12.3965320587,12.4016001225,584.915802002,592.836959124,0.02486,564.348256,0.005598,unit.000027,Mapper-0-28,N/A,12.3692009449,12.3965320587,12.4016001225,584.915802002,592.836959124,564.348256,0.005598,unit.000028,Mapper-0-29,N/A,12.4553871155,12.4705889225,12.4722459316,680.828974962,689.501163006,0.02123,661.738219,0.004871
unit.000027,Mapper-0-28,N/A,12.3692009449,12.3965320587,12.4016001225,584.915802002,592.836959124,0.005598,unit.000028,Mapper-0-29,N/A,12.4553871155,12.4705889225,12.4722459316,680.828974962,689.501163006,0.02123,661.738219,0.004871,unit.000028,Mapper-0-29,N/A,12.4553871155,12.4705889225,12.4722459316,680.828974962,689.501163006,661.738219,0.004871,unit.000029,Mapper-0-30,N/A,12.4403920174,12.4554951191,12.4570589066,576.573353052,581.546999931,0.017804,555.278431,0.008089
unit.000028,Mapper-0-29,N/A,12.4553871155,12.4705889225,12.4722459316,680.828974962,689.501163006,0.004871,unit.000029,Mapper-0-30,N/A,12.4403920174,12.4554951191,12.4570589066,576.573353052,581.546999931,0.017804,555.278431,0.008089,unit.000029,Mapper-0-30,N/A,12.4403920174,12.4554951191,12.4570589066,576.573353052,581.546999931,555.278431,0.008089,unit.000030,Mapper-0-31,N/A,12.7409141064,12.762223959,12.763780117,455.500669003,469.80963397,0.034555,278.388689,0.004958
unit.000029,Mapper-0-30,N/A,12.4403920174,12.4554951191,12.4570589066,576.573353052,581.546999931,0.008089,unit.000030,Mapper-0-31,N/A,12.7409141064,12.762223959,12.763780117,455.500669003,469.80963397,0.034555,278.388689,0.004958,unit.000030,Mapper-0-31,N/A,12.7409141064,12.762223959,12.763780117,455.500669003,469.80963397,278.388689,0.004958,unit.000031,Mapper-0-32,N/A,12.5166089535,12.5319070816,12.5334820747,756.914591074,788.056553125,0.020416,691.876928,0.005471
